hospital_name,county,level,ownership
Community Medical and Lab Services Clinic,Samburu,Level 2,Private Practice - Clinical Officer
Mirigamieru Health Facility,Meru,Level 2,Private Enterprise (Institution)
Meru Medical Plaza,Meru,Level 2,Private Enterprise (Institution)
Eastern Consultans Laboratory,Meru,Level 2,Private Enterprise (Institution)
Kiramburune Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Lelmolok Nursing Home,Uasin Gishu,Level 3,Private Enterprise (Institution)
Jetma Clinic,Embu,Level 2,Private Enterprise (Institution)
Dr B K Njuguna,Kirinyaga,Level 2,Private Practice - General Practitioner
Ikanga Sub-District Hospital,Kitui,Level 4,Ministry of Health
Shimo La Tewa High School Dispensary,Mombasa,Level 2,Private Enterprise (Institution)
Pims Medical Clinic,Samburu,Level 2,Private Practice - Nurse / Midwifery
Jamii Health Care Clinic (Kisauni),Mombasa,Level 2,Private Practice - Clinical Officer
Stanbridge Care Centre,Kilifi,Level 2,Private Practice - Clinical Officer
Crystal Medical Centre,Mombasa,Level 2,Private Practice - General Practitioner
Bamburi Medicare,Mombasa,Level 2,Private Enterprise (Institution)
St Immaculate Clinic,Machakos,Level 2,Private Enterprise (Institution)
Piemu Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Siloam Medical Centre,Kiambu,Level 2,Private Enterprise (Institution)
Kiahuria Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Msikiti Noor Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Corner Chaani Medical Clinic,Mombasa,Level 2,Other Faith Based
Junju Dispensary,Kilifi,Level 2,Ministry of Health
Githunguri Heathwatch Clinic,Kiambu,Level 2,Private Practice - General Practitioner
Stella Maris Medical Clinic,Mombasa,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Senior Staff Medical Clinic (MCM),Mombasa,Level 2,Ministry of Health
Kyatune Health Centre,Kitui,Level 3,Ministry of Health
Kihia Medical Clinic,Nakuru,Level 2,Private Practice - Clinical Officer
Likoni Catholic Dispensary,Mombasa,Level 2,Kenya Episcopal Conference-Catholic Secretariat
St Joseph (EDARP) Clinic,Nairobi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Coptic Medical Clinic,Nairobi,Level 2,Christian Health Association of Kenya
Rolex Medical Clinic,Meru,Level 2,Private Enterprise (Institution)
Marie Stopes Clinic (Imenti North),Meru,Level 2,Non-Governmental Organizations
Dandora (EDARP) Clinic,Nairobi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
EDARP Donholm Clinic,Nairobi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Nyambunwa Medical Clinic,Kisii,Level 2,Private Enterprise (Institution)
Annex Clinic (Kenyenya),Kisii,Level 2,Private Enterprise (Institution)
Lea Toto Clinic Kariobangi South,Nairobi,Level 2,Non-Governmental Organizations
Vikwatani Community Medical Clinic,Mombasa,Level 2,Private Practice - Nurse / Midwifery
Airport View Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Mjeni Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Gede Medical Clinic,Kilifi,Level 2,Private Enterprise (Institution)
San Marco Project Clinic,Kilifi,Level 2,Private Practice - Nurse / Midwifery
Kadzinuni Dispensary,Kilifi,Level 2,Ministry of Health
Kisesini Dispensary,Machakos,Level 2,Ministry of Health
St Lukes Cottage Hospital,Meru,Level 3,Kenya Episcopal Conference-Catholic Secretariat
Sun-Shine Medical Clinic Annex,Nakuru,Level 2,Private Practice - Clinical Officer
Dave Laboratory,Kirinyaga,Level 2,Private Enterprise (Institution)
Highway Medical Enterprises,Kirinyaga,Level 2,Private Enterprise (Institution)
Oasis Diagnostic Laboratory,Marsabit,Level 2,Private Enterprise (Institution)
Milimani Hospital,Kisumu,Level 4,Private Enterprise (Institution)
Marie Stopes Mombasa Nursing Home,Mombasa,Level 3,Private Practice - General Practitioner
Bishop Kioko Catholic Hospital,Machakos,Level 4,Kenya Episcopal Conference-Catholic Secretariat
St Joseph Mission Hospital,Migori,Level 3,Kenya Episcopal Conference-Catholic Secretariat
Tudor District Hospital (Mombasa),Mombasa,Level 3,Ministry of Health
Avenue Hospital,Nairobi,Level 4,Private Enterprise (Institution)
Pastor Machage Memorial Hospital,Migori,Level 4,Private Enterprise (Institution)
St John Hospital,Nairobi,Level 3,Private Enterprise (Institution)
Mother & Child Hospital,Nairobi,Level 3,Private Enterprise (Institution)
Family Health Options Kenya Clinic,Kiambu,Level 3,Non-Governmental Organizations
Conerstone Clinic,Nairobi,Level 2,Christian Health Association of Kenya
Gaturi Medical Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Mwavizi Medical Clinic,Kilifi,Level 2,Private Practice - Nurse / Midwifery
Boma La Tumaini VCT,Kajiado,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Githunguri Health Services Clinic,Kiambu,Level 2,Private Practice - Clinical Officer
Taveta Meditech Centre,Taita Taveta,Level 2,Private Practice - Clinical Officer
Kiroo Clinic,Tharaka-Nithi,Level 2,Private Practice - Clinical Officer
Khems Medical Clinic,Nakuru,Level 2,Private Practice - Clinical Officer
Gilgil Community Medical Clinic,Nakuru,Level 2,Private Practice - Nurse / Midwifery
St Monica Medical Clinic (Dundori),Nakuru,Level 2,Private Practice - Nurse / Midwifery
Heshima Medical Clinic (Nakuru North),Nakuru,Level 2,Private Practice - Nurse / Midwifery
Ndonyo Medical Clinic,Nakuru,Level 2,Private Practice - General Practitioner
Kagaa Dispensary,Kiambu,Level 2,Ministry of Health
Sosiana Dispensary,Narok,Level 2,Ministry of Health
St Mark Maternity,Machakos,Level 3,Private Enterprise (Institution)
Kenya Methodist University Dispensary,Meru,Level 2,Academic
Kemri VCT,Nairobi,Level 2,Ministry of Health
Kunene Dispensary,Meru,Level 2,Ministry of Health
Katangi Mission Dispensary,Machakos,Level 3,Kenya Episcopal Conference-Catholic Secretariat
Riabai Dispensary,Kiambu,Level 2,Ministry of Health
Lomelo Dispensary,Turkana,Level 2,Ministry of Health
Kaptech Dispensary,Vihiga,Level 2,Ministry of Health
Masurura Dispensary,Narok,Level 2,Ministry of Health
Kimogoi Dispensary,Vihiga,Level 2,Ministry of Health
Maasai Nursing Home,Narok,Level 3,Private Enterprise (Institution)
Beta Care Nursing Home,Kiambu,Level 3,Private Enterprise (Institution)
Nyonjoro Maternity Home,Nakuru,Level 2,Private Enterprise (Institution)
Top Choice Maternity and Nursing Home,Laikipia,Level 2,Private Enterprise (Institution)
Ndatani Dispensary,Kitui,Level 2,Ministry of Health
Kenol Hospital,Murang'A,Level 3,Private Enterprise (Institution)
Yongela Dispensary,Kitui,Level 2,Ministry of Health
Tugumoi Dispensary (Lembus Kwen),Baringo,Level 2,Ministry of Health
Chemasis Maternity Home,Nakuru,Level 2,Private Practice - Nurse / Midwifery
Lopedur Dispensary,Turkana,Level 2,Ministry of Health
Kabitungu Dispensary,Kericho,Level 2,Ministry of Health
Matulo Dispensary,Bungoma,Level 2,Ministry of Health
Bungwet Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Koitebes Dispensary,Baringo,Level 2,Ministry of Health
Kapkisiara Dispensary,Kericho,Level 2,Ministry of Health
Kunya Dispensary,Siaya,Level 2,Ministry of Health
Arsim Lutheran Dispensary,Samburu,Level 2,Christian Health Association of Kenya
Katangi Health Centre,Machakos,Level 3,Ministry of Health
Igwamiti Dispensary,Nakuru,Level 2,Ministry of Health
Sumek Dispensary,Nakuru,Level 2,Ministry of Health
Kandutura Dispensary,Nakuru,Level 2,Ministry of Health
Sangekoro Dispensary,Taita Taveta,Level 2,Ministry of Health
Sagaighu Dispensary,Taita Taveta,Level 2,Ministry of Health
Dede Dispensary,Migori,Level 2,Ministry of Health
Mrughua Dispensary,Taita Taveta,Level 2,Ministry of Health
Getarwet Dispensary,Kericho,Level 2,Ministry of Health
Tulwet Dispensary (Buret),Kericho,Level 2,Ministry of Health
Mosore Dispensary,Kericho,Level 2,Ministry of Health
Khalumuli Dispensary,Bungoma,Level 2,Public Institution
Kiptulos Dispensary,Elegeyo-Marakwet,Level 2,Public Institution
Sumbeiywet Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Mungwa Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kapchebau Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Chesiyo Dispensary,Elegeyo-Marakwet,Level 2,Public Institution
Equator Health Centre,Baringo,Level 3,Ministry of Health
Mahanga Dispensary (Bokoli),Bungoma,Level 2,Public Institution
Othoch Rakuom Dispensary,Migori,Level 2,Ministry of Health
Kieni Kia Ndege Dispensary,Meru,Level 2,Ministry of Health
Lamba Medical Clinic,Machakos,Level 2,Private Enterprise (Institution)
Mukhe Dispensary,Bungoma,Level 2,Ministry of Health
Kaptembwo Dispensary,Bomet,Level 2,Ministry of Health
Satiet Dispensary,Bomet,Level 2,Ministry of Health
Toniok Dispensary,Baringo,Level 2,Ministry of Health
Kabimoi Dispensary,Baringo,Level 2,Ministry of Health
Nameyana Dispensary,Turkana,Level 2,Ministry of Health
Kakwanyang Dispensary,Turkana,Level 2,Ministry of Health
Chepkoton Dispensary,Kericho,Level 2,Ministry of Health
Kanawoi Dispensary,Turkana,Level 2,Ministry of Health
Naoros Dispensary,Turkana,Level 2,Ministry of Health
Kanaodon Dispensary,Turkana,Level 2,Ministry of Health
Lokapel Dispensary,Turkana,Level 2,Ministry of Health
Kaptoboiti Dispensary,Kericho,Level 2,Ministry of Health
Kapsomboch Dispensary,Kericho,Level 2,Ministry of Health
Kihato Dispensary,Laikipia,Level 2,Public Institution
Nturukuma Dispensary,Laikipia,Level 2,Ministry of Health
Lorengelup Dispensary,Turkana,Level 2,Ministry of Health
Muting'ong'o Dispensary,Kakamega,Level 2,Ministry of Health
Kapchebar Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Kapletingi Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Lorengippi Dispensary,Turkana,Level 2,Ministry of Health
Locheremoit Dispensary,Turkana,Level 2,Ministry of Health
Chepseon Dispensary,Kericho,Level 2,Ministry of Health
Lomil Dispensary,Turkana,Level 2,Ministry of Health
Tumaini Medical Clinic (Nyeri North),Nyeri,Level 2,Private Enterprise (Institution)
Mosoriot TTC Dispensary,Nandi,Level 2,Academic
10 Engineer VCT,Laikipia,Level 2,Armed Forces
Kapua Dispensary,Turkana,Level 2,Ministry of Health
Chebewor Dispensary,Kericho,Level 2,Ministry of Health
Iraa Dispensary,Kericho,Level 2,Ministry of Health
Meguara Dispensary,Narok,Level 2,Ministry of Health
Njipiship Dispensary,Narok,Level 2,Ministry of Health
Ligega Health Centre,Siaya,Level 3,Ministry of Health
Loturerei Dispensary,Turkana,Level 2,Ministry of Health
Lukusi Dispensary,Bungoma,Level 2,Public Institution
GK Prison Dispensary ( Bungoma South),Bungoma,Level 2,Public Institution
Kapindasim Dispensary,Baringo,Level 2,Ministry of Health
Keringani Dispensary,Narok,Level 2,Ministry of Health
Baraka Medical Clinic (Lamu),Lamu,Level 2,Private Practice - Clinical Officer
Gacharage Dispensary,Murang'A,Level 2,Ministry of Health
Mashangwa Dispensary,Narok,Level 2,Ministry of Health
Gianchuku Dispensary,Tharaka-Nithi,Level 2,Ministry of Health
Ikaatini Dispensary,Machakos,Level 2,Ministry of Health
Iuuma Dispensary,Machakos,Level 2,Ministry of Health
Jepkoyai Dispensary,Vihiga,Level 2,Ministry of Health
Kiairugu Dispensary,Tharaka-Nithi,Level 2,Ministry of Health
Itunduimuni Health Centre,Machakos,Level 3,Ministry of Health
Wenje Dispensary,Tana River,Level 2,Ministry of Health
Kondamet Dispensary,Narok,Level 2,Ministry of Health
GK Prison Annex Dispensary (Naivasha),Nakuru,Level 2,Public Institution
Ilengi Dispensary,Kitui,Level 2,Ministry of Health
Ochii Dispensary,Baringo,Level 2,Ministry of Health
Sandai Dispensary,Baringo,Level 2,Ministry of Health
Mogoiywet Dispensary,Narok,Level 2,Ministry of Health
Gikoe Dispensary,Murang'A,Level 2,Ministry of Health
Anmer Dispensary,Kiambu,Level 2,Ministry of Health
Kighombo Dispensary,Taita Taveta,Level 2,Ministry of Health
Kimorigho Dispensary,Taita Taveta,Level 2,Ministry of Health
GK Prisons Dispensary (Tana River),Tana River,Level 2,Ministry of Health
Githunguri Dispensary,Murang'A,Level 2,Ministry of Health
Ilkerin Dispensary (Narok South),Narok,Level 2,Ministry of Health
AIC Gituru Dispensary,Murang'A,Level 2,Christian Health Association of Kenya
Kaguthi Dispensary,Murang'A,Level 2,Ministry of Health
Miguta Dispensary,Kiambu,Level 2,Ministry of Health
Bughuta Health Centre,Taita Taveta,Level 3,Ministry of Health
Mihang'o Dispensary,Murang'A,Level 2,Ministry of Health
Gitiha Dispensary,Kiambu,Level 2,Ministry of Health
Waldena Dispensary,Tana River,Level 2,Ministry of Health
Oldanyati Health Centre,Narok,Level 3,Ministry of Health
Wayu Dispensary,Tana River,Level 2,Ministry of Health
Nadoto Dispensary,Turkana,Level 2,Ministry of Health
Osinoni Dispensary,Narok,Level 2,Ministry of Health
Kiprengwet Dispensary,Kericho,Level 2,Ministry of Health
Endei Dispensary,Machakos,Level 2,Ministry of Health
Chegulo Dispensary,Kakamega,Level 2,Ministry of Health
Chevoso Dispensary,Kakamega,Level 2,Ministry of Health
Kuresiet Dispensary,Narok,Level 2,Ministry of Health
Ukunda Primary Health Care Dispensary,Kwale,Level 2,Private Enterprise (Institution)
Kasigau Rdch,Taita Taveta,Level 3,Ministry of Health
Kinakoni Dispensary,Kitui,Level 2,Ministry of Health
Kiamuchairu Health Centre,Tharaka-Nithi,Level 3,Ministry of Health
Kikumini Dispensary,Machakos,Level 2,Ministry of Health
Langa Langa Health Centre,Nakuru,Level 3,Ministry of Health
Katyethoka Health Centre,Kitui,Level 3,Ministry of Health
Kithyoko Health Centre,Machakos,Level 3,Ministry of Health
Kiini Health Centre,Tharaka-Nithi,Level 3,Ministry of Health
Mukoe Dispensary,Murang'A,Level 2,Ministry of Health
Kariua Dispensary,Murang'A,Level 2,Ministry of Health
Kariti Dispensary,Murang'A,Level 2,Ministry of Health
Ngurweini Dispensary,Murang'A,Level 2,Ministry of Health
Kangari Health Centre,Murang'A,Level 3,Ministry of Health
Kanderendu Dispensary,Murang'A,Level 2,Ministry of Health
Muruka Dispensary,Murang'A,Level 2,Ministry of Health
Mutheru Dispensary,Murang'A,Level 2,Ministry of Health
Mukuria Dispensary,Murang'A,Level 2,Ministry of Health
Cianda Dispensary,Kiambu,Level 2,Ministry of Health
Muthithi Dispensary,Murang'A,Level 2,Ministry of Health
Beta Medical & Skin Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Kithimani Dispensary,Machakos,Level 2,Ministry of Health
Mugumoini Dispensary (Muranga South),Murang'A,Level 2,Ministry of Health
Naaro Dispensary,Murang'A,Level 2,Ministry of Health
Kajire Dispensary,Taita Taveta,Level 2,Ministry of Health
Kiangachinyi Dispensary,Taita Taveta,Level 2,Ministry of Health
David Kayanda Dispensary,Taita Taveta,Level 2,Ministry of Health
Shiseso Health Centre,Kakamega,Level 3,Ministry of Health
Katilini Health Centre,Kitui,Level 3,Ministry of Health
Bahati Clinic,Nairobi,Level 2,Ministry of Health
Gathanga Dispensary,Kiambu,Level 2,Ministry of Health
Marungu Health Centre,Taita Taveta,Level 3,Ministry of Health
Mwambirwa Dispensary,Taita Taveta,Level 2,Ministry of Health
Mwanda Health Centre (Taita Taveta),Taita Taveta,Level 3,Ministry of Health
Ndome Dispensary (Taita),Taita Taveta,Level 2,Ministry of Health
Kirumi Dispensary,Tharaka-Nithi,Level 2,Ministry of Health
Katulye Dispensary,Machakos,Level 2,Ministry of Health
Kathukini Dispensary,Machakos,Level 2,Ministry of Health
Ndithini Health Centre,Machakos,Level 2,Ministry of Health
Ngetani Dispensary,Machakos,Level 2,Ministry of Health
Kalewa Dispensary,Tharaka-Nithi,Level 2,Ministry of Health
NYS (National Youth Service) Dispensary Yatta,Machakos,Level 2,Ministry of Health
Surgery Clinic,Kilifi,Level 2,Private Practice - Medical Specialist
Kiseuni Dispensary,Machakos,Level 2,Ministry of Health
Kitangani Dispensary,Machakos,Level 2,Ministry of Health
Kanziku Health Centre,Kitui,Level 3,Ministry of Health
Kyoani Dispensary,Kitui,Level 2,Ministry of Health
Kyondoni Dispensary ( Kivaa),Machakos,Level 2,Ministry of Health
Kasaala Health Centre,Kitui,Level 3,Ministry of Health
Kakongo Dispensary,Machakos,Level 2,Ministry of Health
Mukui Health Centre,Tharaka-Nithi,Level 3,Ministry of Health
Mukusu Dispensary,Machakos,Level 2,Ministry of Health
Mumbuni Dispensary (Maara),Tharaka-Nithi,Level 2,Ministry of Health
Muthesya Dispensary,Machakos,Level 2,Ministry of Health
Kwa-Mnegwa Dispensary,Taita Taveta,Level 2,Ministry of Health
Manyani Dispensary,Taita Taveta,Level 2,Ministry of Health
Dawson Mwanyumba Dispensary,Taita Taveta,Level 2,Ministry of Health
Ndakaini Clinic,Murang'A,Level 2,Private Enterprise (Institution)
Chewani Dispensary,Tana River,Level 2,Ministry of Health
Ghazi Dispensary,Taita Taveta,Level 2,Ministry of Health
Mutha Health Centre,Kitui,Level 3,Ministry of Health
Majengo Dispensary (Tana River),Tana River,Level 2,Ministry of Health
Dembwa Dispensary,Taita Taveta,Level 2,Ministry of Health
Kitobo Dispensary (Taveta),Taita Taveta,Level 2,Ministry of Health
Kishushe Dispensary,Taita Taveta,Level 2,Ministry of Health
Mbulia Dispensary,Taita Taveta,Level 2,Ministry of Health
Miasenyi Dispensary,Taita Taveta,Level 2,Ministry of Health
Mgange Nyika Health Centre,Taita Taveta,Level 3,Ministry of Health
Kamutei Health Centre,Kitui,Level 3,Ministry of Health
Olereko Dispensary,Narok,Level 2,Ministry of Health
Benmac Clinic,Nakuru,Level 2,Private Enterprise (Institution)
Frontline Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Kayole I Health Centre,Nairobi,Level 3,Ministry of Health
Nyamathi Dispensary,Nakuru,Level 2,Ministry of Health
Nys Dispensary (Gilgil),Nakuru,Level 2,Ministry of Health
Nzoia Dispensary (Trans Nzoia East),Trans Nzoia,Level 2,Ministry of Health
Muricho Dispensary,Nakuru,Level 2,Ministry of Health
Mtaragon Health Centre,Kericho,Level 3,Ministry of Health
Motosiet Dispensary,Trans Nzoia,Level 2,Ministry of Health
Olkinyei Dispensary,Narok,Level 2,Ministry of Health
Miti-Mingi Dispensary,Nakuru,Level 2,Ministry of Health
Momoniat Health Centre,Kericho,Level 3,Ministry of Health
Morijo Loita Dispensary,Narok,Level 2,Ministry of Health
Mosiro Dispensary,Narok,Level 2,Ministry of Health
Chepngoror Dispensary,Uasin Gishu,Level 2,Ministry of Health
Chepnyal Dispensary,West Pokot,Level 2,Other Faith Based
Mutara Dispensary,Laikipia,Level 2,Ministry of Health
Chepsir Dispensary,Kericho,Level 2,Ministry of Health
Nys Dispensary (Keiyo),Elegeyo-Marakwet,Level 2,Ministry of Health
Oldepesi Dispensary,Bomet,Level 2,Ministry of Health
Motiret Dispensary,Bomet,Level 2,Ministry of Health
Pondeni Medical Clinic,Machakos,Level 2,Private Enterprise (Institution)
Kithimani Medical Clinic,Machakos,Level 2,Private Enterprise (Institution)
Mormorio Dispensary,Baringo,Level 2,Ministry of Health
Cheplambus Dispensary,Baringo,Level 2,Ministry of Health
Molok Dispensary,Baringo,Level 2,Ministry of Health
Ol-Arabel Dispensary,Baringo,Level 2,Ministry of Health
Sambut Dispensary,Uasin Gishu,Level 2,Ministry of Health
Chepkunyuk Dispensary (Kipkelion),Kericho,Level 2,Ministry of Health
Serem Health Centre (Nandi South),Nandi,Level 2,Ministry of Health
Sekenani Health Centre,Narok,Level 3,Ministry of Health
Soliat Dispensary,Kericho,Level 2,Ministry of Health
Sang'alo Dispensary,Nandi,Level 2,Ministry of Health
Chepkoiyo Dispensary,Nandi,Level 2,Ministry of Health
Olderkesi Dispensary,Narok,Level 2,Ministry of Health
Victoria Clinic,Migori,Level 2,Private Enterprise (Institution)
Mutethya Medical Clnic,Machakos,Level 2,Private Enterprise (Institution)
Nkareta Dispensary,Narok,Level 2,Ministry of Health
Muhotetu Dispensary,Laikipia,Level 2,Ministry of Health
Imani Medical Clinic (Kiambu West),Kiambu,Level 2,Private Practice - Nurse / Midwifery
Segero Dispensary (Segeroi/barsombe),Uasin Gishu,Level 2,Ministry of Health
Merewet Dispensary,Uasin Gishu,Level 2,Ministry of Health
Kisayani Health Centre,Kitui,Level 3,Ministry of Health
Mugumoini Dispensary (Kipkelion),Kericho,Level 2,Ministry of Health
Sisiya Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Sangurur Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Segut Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Nyaru Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Saruchat Dispensary,Bomet,Level 2,Ministry of Health
Singorwet Dispensary,Bomet,Level 2,Ministry of Health
Mugango Dispensary,Bomet,Level 2,Ministry of Health
Segutiet Dispensary,Bomet,Level 2,Ministry of Health
Muchukwo Dispensary,Baringo,Level 2,Ministry of Health
Mugurin Dispensary,Baringo,Level 2,Ministry of Health
Sigoro Dispensary,Baringo,Level 2,Ministry of Health
Solian Dispensary,Baringo,Level 2,Ministry of Health
Chuluni Dispensary,Kitui,Level 2,Ministry of Health
Shankoe Dispensary,Narok,Level 2,Ministry of Health
Setek Dispensary,Nandi,Level 2,Ministry of Health
Olmoran Health Centre,Laikipia,Level 3,Ministry of Health
Cheplaskei Dispensary,Uasin Gishu,Level 2,Ministry of Health
Cheptabach Dispensary,Nandi,Level 2,Ministry of Health
Naisoya Dispensary,Narok,Level 2,Ministry of Health
Chepkunyuk Dispensary,Nandi,Level 2,Ministry of Health
Sereolipi Health Centre,Samburu,Level 2,Ministry of Health
Ndurumo Dispensary,Laikipia,Level 2,Ministry of Health
Mwituria Dispensary,Laikipia,Level 2,Ministry of Health
Cheptuiyet Dispensary,Kericho,Level 2,Ministry of Health
Siwo Dispensary,Nandi,Level 2,Ministry of Health
Seretut Dispensary,Kericho,Level 2,Ministry of Health
Megwara Dispensary,Narok,Level 2,Ministry of Health
Nabkoi Dispensary,Uasin Gishu,Level 2,Ministry of Health
Sergoit Dispensary (Keiyo),Elegeyo-Marakwet,Level 2,Ministry of Health
Chegilet Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Mogil Health Centre,Elegeyo-Marakwet,Level 3,Ministry of Health
Olkokwe Health Centre,Baringo,Level 3,Ministry of Health
Sirwa Dispensary (Mogotio),Baringo,Level 2,Ministry of Health
Marti Dispensary,Samburu,Level 2,Ministry of Health
Bahati Dispensary,Nakuru,Level 2,Ministry of Health
Mbogoini Dispensary,Nakuru,Level 2,Ministry of Health
Mwenje Dispensary,Laikipia,Level 2,Ministry of Health
Mahanga Dispensary (Lwandeti),Kakamega,Level 2,Ministry of Health
Mutomo Health Centre,Kitui,Level 3,Ministry of Health
Miendo Dispensary,Bungoma,Level 2,Ministry of Health
Namagara Dispensary,Kakamega,Level 2,Ministry of Health
Malekha Dispensary,Kakamega,Level 2,Ministry of Health
Bondeni Health Centre (Trans Nzoia - Saboti),Trans Nzoia,Level 2,Ministry of Health
Arama Dispensary,Baringo,Level 2,Ministry of Health
Nangina Dispensary,Busia,Level 2,Ministry of Health
Nambuku Model Health Centre,Busia,Level 3,Ministry of Health
Rumbiye Dispensary,Busia,Level 2,Ministry of Health
Agenga Dispensary (Samia),Busia,Level 2,Ministry of Health
Kabula Dispensary,Bungoma,Level 2,Ministry of Health
Mumbule Dispensary,Bungoma,Level 2,Ministry of Health
Mechimeru Dispensary,Bungoma,Level 2,Ministry of Health
Bartolimo Dispensary,Baringo,Level 2,Ministry of Health
Aiyebo Dispensary,Baringo,Level 2,Ministry of Health
Mutomo Mission Hospital,Kitui,Level 4,Kenya Episcopal Conference-Catholic Secretariat
Sibilo Dispensary,Baringo,Level 2,Ministry of Health
Nasianda Dispensary,Bungoma,Level 2,Ministry of Health
Kapkiam Dispensary,Kericho,Level 2,Ministry of Health
Nganayio Dispensary,Narok,Level 2,Ministry of Health
Ngutuk-Engiron Dispensary,Samburu,Level 2,Ministry of Health
Ngobit Dispensary,Laikipia,Level 2,Ministry of Health
Ngeria South Dispensary,Uasin Gishu,Level 2,Ministry of Health
Ngenyilel Dispensary,Uasin Gishu,Level 2,Ministry of Health
Ngendalel Dispensary,Kericho,Level 2,Ministry of Health
Kapchemwani Dispensary,Vihiga,Level 2,Ministry of Health
Barotion (AIC) Dispensary,Kericho,Level 2,Ministry of Health
Matuu District Hospital,Machakos,Level 4,Ministry of Health
Adurkoit Dispensary,West Pokot,Level 2,Ministry of Health
Ngechek Dispensary,Nandi,Level 2,Ministry of Health
Lambwe Dispensary,Homa Bay,Level 2,Ministry of Health
Likindu Dispensary,Vihiga,Level 2,Ministry of Health
Kimangeti Dispensary,Kakamega,Level 2,Ministry of Health
Kuvasali Health Centre,Kakamega,Level 3,Ministry of Health
Shihome Dispensary,Kakamega,Level 2,Ministry of Health
Shamberere Dispensary,Kakamega,Level 2,Ministry of Health
Shihalia Dispensary,Kakamega,Level 2,Ministry of Health
Bulondo Dispensary,Bungoma,Level 2,Ministry of Health
Maina Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Chebirbelek Dispensary,Bomet,Level 2,Ministry of Health
Ngetmoi Dispensary,Baringo,Level 2,Ministry of Health
Bekibon Dispensary,Baringo,Level 2,Ministry of Health
Tebei Dispensary,Baringo,Level 2,Ministry of Health
Maji Moto Dispensary,Baringo,Level 2,Ministry of Health
Maji Mazuri Dispensary,Baringo,Level 2,Ministry of Health
Manyoror Dispensary,Kericho,Level 2,Ministry of Health
Makyolok Dispensary,Kericho,Level 2,Ministry of Health
Maraigushu Dispensary,Nakuru,Level 2,Ministry of Health
Mangu Dispensary (Rongai),Nakuru,Level 2,Ministry of Health
Matuu Mission Health Centre,Machakos,Level 3,Kenya Episcopal Conference-Catholic Secretariat
Wei Dispensary,Nakuru,Level 2,Ministry of Health
Ollessos Holy Family Dispensary,Nandi,Level 2,Ministry of Health
Ywalateke Dispensary,West Pokot,Level 2,Ministry of Health
Wiyumiririe Dispensary,Laikipia,Level 2,Ministry of Health
Wiyeta Dispensary,Trans Nzoia,Level 2,Ministry of Health
Masaita/ Miti-Tatu Dispensary,Kericho,Level 2,Ministry of Health
Nkorinkori Dispensary,Narok,Level 2,Ministry of Health
Ndabibi Dispensary,Nakuru,Level 2,Ministry of Health
Olchorro Health Centre,Narok,Level 3,Ministry of Health
Pona Haraka Clinic,Kitui,Level 2,Private Enterprise (Institution)
Olmesutie Dispensary,Narok,Level 2,Ministry of Health
Weonia Health Centre,Trans Nzoia,Level 2,Ministry of Health
Maron-Marichor Dispensary,Elegeyo-Marakwet,Level 2,Ministry of Health
Biretwa health centre,Elegeyo-Marakwet,Level 2,Ministry of Health
Kapkures Dispensary (Sotik),Bomet,Level 2,Ministry of Health
Matuu Cottage Clinic,Machakos,Level 2,Private Enterprise (Institution)
Ndamichonik Dispensary,Bomet,Level 2,Ministry of Health
Makimeny Dispensary,Bomet,Level 2,Ministry of Health
Siomo Dispensary,Bomet,Level 2,Ministry of Health
Poi Dispensary,Baringo,Level 2,Ministry of Health
Yatya Dispensary,Baringo,Level 2,Ministry of Health
Molos Dispensary,Baringo,Level 2,Ministry of Health
Prison Dispensary,Nakuru,Level 2,Ministry of Health
Chepkero Dispensary,Uasin Gishu,Level 2,Ministry of Health
Mituki Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Kaparon Health Centre,Elegeyo-Marakwet,Level 3,Ministry of Health
