hospital_name,county,level,ownership
Mercylight  Hospital-Lucky Summer,Nairobi,Level 3,Private Practice - Nurse / Midwifery
Nelly Medical Centre,Nairobi,Level 2,Private Practice - Nurse / Midwifery
Mulot stand alone (Bomet),Bomet,Level 2,Christian Health Association of Kenya
Rosemed clinic,Kajiado,Level 2,Private Practice - Clinical Officer
ST. JULIANS MEDICAL CLINIC,Makueni,Level 2,Private Practice - Nurse / Midwifery
AAR Nyali Heal,Mombasa,Level 3,Private Practice - General Practitioner
Ebenezar Medical clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
GALAXY,Isiolo,Level 4,Private Practice - General Practitioner
KIRIA-INI HEALTH CARE,Murang'A,Level 2,Private Practice - Clinical Officer
CFW Cheera,Tharaka-Nithi,Level 2,Private Practice - Nurse / Midwifery
Sipili maternity and nursing home (Githiga),Laikipia,Level 2,Private Practice - Nurse / Midwifery
North Gate School - Koma Hill Clinic,Machakos,Level 2,Private Enterprise (Institution)
SAINT GABRIEL HOSPITAL AND WELLNESS CENTER,Kericho,Level 4,Private Practice - Medical Specialist
Kitololoni Catholic Dispensary,Embu,Level 2,Kenya Episcopal Conference-Catholic Secretariat
ST.Bakhita Mission,Bungoma,Level 3,Other Faith Based
SVG Health Care Limited,Nairobi,Level 2,Private Enterprise (Institution)
Dr. Mazaher Hassan Jaffer,Nairobi,Level 2,Private Practice - General Practitioner
Dr. Racheal Muthoni Rukaria,Nairobi,Level 2,Private Practice - Medical Specialist
FURAHA MEDICAL CARE,Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Columbia Africa Health Care Ltd,Nairobi,Level 2,Company Medical Service
Nyaronde(Borabu),Nyamira,Level 2,Ministry of Health
Mailo Inya Medical Clinic,Nyandarua,Level 2,Private Practice - Clinical Officer
MEDICARE HEALTH- SATELITTE,Nyamira,Level 2,Private Practice - Clinical Officer
Ndumberi Clinical Services,Kiambu,Level 2,Private Practice - Clinical Officer
Dr Paul S Njuguna (Healthwise Medical centre Ltd),Nyeri,Level 2,Private Practice - Medical Specialist
Kimbimbi Medical Centre,Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
Sugubo Dispensary,Kisii,Level 2,Ministry of Health
Hillsway Medical Centre,Kajiado,Level 2,Private Practice - Clinical Officer
St. Peters Medical Centre Bulwani,Busia,Level 2,Private Practice - Clinical Officer
Kyase Dispensary,Makueni,Level 2,Ministry of Health
Mulenyu dispensary,Makueni,Level 2,Ministry of Health
Kawala Medical clinic,Makueni,Level 2,Private Practice - General Practitioner
Pala Dispensary,Homa Bay,Level 2,Ministry of Health
Kyeeko Dispensary,Makueni,Level 2,Ministry of Health
Nyaroha Dispensary,Migori,Level 2,Ministry of Health
Hayat Hospital,Nairobi,Level 3,Private Practice - General Practitioner
Sikia dispensary,Machakos,Level 2,Ministry of Health
Maeta Dispensary,Migori,Level 2,Ministry of Health
Getrudes Mathare Outreach Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Nyamagongwi Dispensary,Migori,Level 2,Ministry of Health
Transcom Health Network Medical Centre,Machakos,Level 2,Private Practice - General Practitioner
st lukes medical and diabetes cenre,Kiambu,Level 2,Private Practice - Medical Specialist
Kiambu Plains Medical Clinic,Kiambu,Level 2,Private Practice - Clinical Officer
Precious care medical centre,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Hope for Widows & Children Foundation  Nursing Home,Kisumu,Level 2,Private Practice - General Practitioner
Paradise Medical clinic,Nakuru,Level 2,Private Practice - Clinical Officer
Chimoi Medical Centre,Kakamega,Level 3,Private Practice - Clinical Officer
Lifespan medical centre,Kiambu,Level 2,Private Practice - Clinical Officer
MAAYGO Dice,Kisumu,Level 2,Non-Governmental Organizations
mara  medical clinic,Narok,Level 2,Private Practice - Clinical Officer
TRINITY MEDICAL CENTRE,Nakuru,Level 2,Private Practice - Clinical Officer
Ziwa la ngo'mbe Health centre,Mombasa,Level 3,Ministry of Health
Athi Mission Clinic,Kitui,Level 2,Other Faith Based
Equity Afia Buruburu,Nairobi,Level 2,Private Practice - General Practitioner
kelonget dispensary,Narok,Level 2,Ministry of Health
Marie Stopes Kenya,Kajiado,Level 2,Private Practice - Nurse / Midwifery
OBER OGUNGA DISPENSARY,Siaya,Level 3,Ministry of Health
Machakos Doctors' Plaza,Machakos,Level 4,Private Practice - General Practitioner
Universal Family Health Services( Machakos),Machakos,Level 4,Private Practice - General Practitioner
WESPRAM MEDICAL CENTRE,Siaya,Level 3,Private Practice - Clinical Officer
Jaralam Medical Centre,Nairobi,Level 2,Other Faith Based
Pongwe Dispensary,Kwale,Level 2,Ministry of Health
Dadas VCT,Nairobi,Level 2,Private Practice - Unspecified
Samawati medical Centre,Nairobi,Level 2,Private Practice - General Practitioner
Kisharu Dispensary,Kajiado,Level 2,Ministry of Health
Kapserton Dispensary,Uasin Gishu,Level 2,Ministry of Health
JOYRIDE MEDICAL CENTRE,Nyamira,Level 2,Private Practice - Clinical Officer
Chelambut Dispensary,Nandi,Level 2,Ministry of Health
SANIAK DISPENSARY,Nandi,Level 2,Ministry of Health
Galilee medical center milimani kitale limited,Trans Nzoia,Level 4,Private Practice - Medical Specialist
Dunga Dispensary,Kisumu,Level 2,Ministry of Health
Tana River County Beyond Zero Clinic,Tana River,Level 2,Ministry of Health
Nyatalio Dispensary,Mandera,Level 2,Ministry of Health
Gazi Dispensary,Kwale,Level 2,Ministry of Health
Alwalidayn Dispensary,Kwale,Level 2,Other Faith Based
Mwachande Medical Services,Kwale,Level 2,Private Practice - Nurse / Midwifery
Munje Dispensary,Kwale,Level 2,Ministry of Health
